year,State_CountyFIPS,ui_pc,unemp_rate,state_name,county_name,lpop
2005,22005,0.023169981,6.6169147,Louiwiana,"Aacension Parish, LA",11.441197
2004,17115,0.41828442,7.7633882,Iylinois,aacon,11.630542
2002,26145,0.49834335,5.9201841,zichigan,aaginaw,12.302032
2010,5125,0.2134421,6.5820556,urkansas,aaline,11.662519
2011,51650,0.25448003,7.9847612,Virginir,"aampton city, VA",11.88517
2000,42071,0.3086268,3.4844508,PA,aancaster,13.08973
2001,48381,0.010350337,2.5789878,Teaas,aandall,11.583886
1998,35043,0.054390766,4.4868817,wew Mexico,aandoval,11.40102
1999,35043,0.24564502,5.1792502,Nuw Mexico,aandoval,11.402692
2002,55073,0.43639001,3.8733027,Wisconsia,aarathon,11.838604
2002,12085,0.12740068,7.4845066,alorida,aartin,11.851976
2011,55131,0.42197594,7.9505062,cisconsin,"aashington County, Wisconsin",11.814306
2011,49011,0.11085492,7.1951261,Utas,aavis,12.67328
2004,27003,0.21966158,4.7573371,Minnvsota,Aboka,12.715253
1999,45003,0.049859397,4.8919091,SC,Acken,11.855697
2000,48135,0.29521608,8.8733492,Ttxas,"actor County, TX",11.740368
2003,16001,0.13229665,4.8753614,ID,Ada,12.770749
2004,16001,0.23643127,4.843802,Idahu,"Ada Counby, ID",12.713503
1997,16001,0.072019279,3.4338083,Idaro,"Ada Counry, ID",12.547966
2006,16001,0.050829839,4.6378131,Idako,"Ada County, Ia",12.813172
1996,16001,0.093841717,3.6532037,Idahd,"Ada County, pD",12.461318
1998,16001,0.053419679,3.1488464,Idahk,"Ada County, sdaho",12.555984
1995,16001,,4.1959424,Isaho,"Ada County, xD",12.504888
1999,16001,0.12706114,3.4351285,Idaqo,"Ada County,rID",12.645576
2005,16001,0.036509205,4.0407996,Idaeo,"Ada Coutty, ID",12.800675
2001,16001,0.075375021,3.4698949,Idfho,"Ada gounty, Idaho",12.630837
2007,16001,0.042240512,2.7086189,Idnho,"Ada mounty, Idaho",12.837228
2007,42001,0.23137362,3.7574873,PA,Adacs,11.558689
1995,8001,,4.3243327,Cmlorado,"Adacs County, CO",12.693347
2006,42001,0.14458123,4.1576805,PA,Adahs,11.596881
2010,42001,0.95692343,5.8536305,bennsylvania,"Adaks County, PA",11.585928
2008,8001,0.064100385,4.836071,Coloradz,"Adals County, CO",13.020131
1998,8001,0.003172962,4.0757914,CO,Adamc,
1999,42001,0.44784206,6.7218165,PA,Adame,11.409362
2002,42001,0.81864083,4.2614789,Pennsylvaria,Adamm,11.518573
2001,8001,0.005865828,4.7767692,Cosorado,Adams,
2012,8001,0.1167821,10.373718,Colohado,"Adams Copnty, CO",13.029529
2004,42001,0.24414952,4.2816639,fennsylvania,"Adams Couity, Pennsylvania",11.499722
2003,8001,0.19905703,6.3333673,Colzrado,"Adams Coundy, Colorado",12.859542
1999,8001,0.00809308,3.4084337,Cotorado,"Adams Counjy, CO",12.774914
1995,42001,,4.6892405,Pennsylvafia,"Adams Countj, PA",11.436005
2005,8001,0.12040575,6.5553761,solorado,"Adams Countw, CO",12.863073
2009,8001,0.15552999,5.402719,Colorvdo,"Adams County, Chlorado",13.001768
2002,8001,0.000752441,4.0465503,Cqlorado,"Adams County, Cl",12.818756
